TIMESTAMP,MMSI,LON,LAT,HEADING,COURSE,SPEED,NAVIGATIONAL_STATUS,TYPE,STATION,CLASS
1425789047000,555532555,23.6356,37.8877,328,22.6,0,0,30,-1,A
1425789172000,555532555,23.6276,37.899017,328,21.8,0,0,30,-1,A
1425789298000,555532555,23.620117,37.9098,331,20.4,0,0,30,-1,A
1425789424000,555532555,23.614616,37.920235,334,19.6,0,0,30,-1,A
1425789550000,555532555,23.61205,37.9314,3,19.3,0,0,30,-1,A
1425789670000,555532555,23.618467,37.937035,62,12.3,0,0,30,-1,A
1425789796000,555532555,23.62385,37.93852,62,6.8,0,0,30,-1,A
1425789926000,555532555,23.6286,37.940132,68,6.8,0,0,30,-1,A
1425790059000,555532555,23.634684,37.941917,34,9.9,0,0,30,-1,A
1425790187000,555532555,23.63895,37.9477,36,11.2,0,0,30,-1,A
1425790427000,555532555,23.641216,37.947933,190,1.2,0,0,30,-1,A
1425790626000,555532555,23.641367,37.94795,184,0.0,0,0,30,-1,A
1425792046000,555532555,23.641417,37.947968,184,0.0,0,0,30,-1,A
1425793558000,555532555,23.6413,37.947933,184,0.0,0,0,30,-1,A
1425795001000,555532555,23.641434,37.947983,184,0.0,0,0,30,-1,A
1425796440000,555532555,23.641367,37.947918,184,0.0,0,0,30,-1,A
1425797880000,555532555,23.641417,37.947968,184,0.0,0,0,30,-1,A
1425799319000,555532555,23.64155,37.947968,184,0.0,0,0,30,-1,A
1425800758000,555532555,23.64145,37.947933,184,0.0,0,0,30,-1,A
1425802201000,555532555,23.641434,37.947918,184,0.0,0,0,30,-1,A
1425803638000,555532555,23.641417,37.947933,184,0.0,0,0,30,-1,A
1425805078000,555532555,23.6414,37.947968,184,0.0,0,0,30,-1,A
1425806519000,555532555,23.6414,37.9479,184,0.0,0,0,30,-1,A
1425807958000,555532555,23.64135,37.9478,184,0.0,0,0,30,-1,A
1425809400000,555532555,23.6414,37.947884,184,0.0,0,0,30,-1,A
1425810841000,555532555,23.641417,37.947918,184,0.0,0,0,30,-1,A
1425812281000,555532555,23.64145,37.94795,184,0.0,0,0,30,-1,A
1425813718000,555532555,23.6414,37.947968,184,0.0,0,0,30,-1,A
1425815159000,555532555,23.64145,37.947933,184,0.0,0,0,30,-1,A
1425816600000,555532555,23.6414,37.947884,184,0.0,0,0,30,-1,A
1425818038000,555532555,23.641434,37.94787,184,0.0,0,0,30,-1,A
1425819481000,555532555,23.641384,37.947815,184,0.0,0,0,30,-1,A
1425820919000,555532555,23.64135,37.9479,184,0.0,0,0,30,-1,A
1425822358000,555532555,23.64135,37.94787,184,0.0,0,0,30,-1,A
1425823798000,555532555,23.641367,37.94795,184,0.0,0,0,30,-1,A
1425825240000,555532555,23.641384,37.94795,184,0.0,0,0,30,-1,A
1425826848000,555532555,23.64145,37.9479,184,0.0,0,0,30,-1,A
1425828121000,555532555,23.64145,37.94787,183,0.0,0,0,30,-1,A
1425829368000,555532555,23.6414,37.9479,183,0.0,0,0,30,-1,A
1425830640000,555532555,23.641367,37.947918,183,0.0,0,0,30,-1,A
1425831718000,555532555,23.6409,37.947834,199,1.4,0,0,30,-1,A
1425831870000,555532555,23.638384,37.9457,214,7.6,0,0,30,-1,A
1425832020000,555532555,23.631716,37.940517,256,11.5,0,0,30,-1,A
1425832160000,555532555,23.622917,37.938118,247,12.4,0,0,30,-1,A
1425832340000,555532555,23.613184,37.927418,178,19.6,0,0,30,-1,A
1425832462000,555532555,23.613583,37.915565,179,22.0,0,0,30,-1,A
1425832611000,555532555,23.614067,37.900017,179,22.4,0,0,30,-1,A
1425832750000,555532555,23.614616,37.88545,177,22.3,0,0,30,-1,A
1425832920000,555532555,23.615917,37.86767,175,22.4,0,0,30,-1,A
1425833061000,555532555,23.617617,37.853134,175,22.3,0,0,30,-1,A
1425833192000,555532555,23.619783,37.839684,172,22.3,0,0,30,-1,A
1425833320000,555532555,23.622316,37.826935,172,22.3,0,0,30,-1,A
1425833450000,555532555,23.62625,37.813717,159,22.2,0,0,30,-1,A
1425833582000,555532555,23.6335,37.801,153,22.5,0,0,30,-1,A
1425833702000,555532555,23.64075,37.7901,153,22.2,0,0,30,-1,A
1425833828000,555532555,23.648434,37.778465,153,22.3,0,0,30,-1,A
1425833954000,555532555,23.65605,37.766785,153,22.4,0,0,30,-1,A
1425834080000,555532555,23.663483,37.75545,153,22.4,0,0,30,-1,A
1425834235000,555532555,23.672617,37.74125,153,22.4,0,0,30,-1,A
1425834361000,555532555,23.680267,37.729317,153,22.2,0,0,30,-1,A
1425834481000,555532555,23.68735,37.718266,153,22.3,0,0,30,-1,A
1425834620000,555532555,23.695616,37.70535,153,22.4,0,0,30,-1,A
1425834745000,555532555,23.7035,37.694084,149,22.2,0,0,30,-1,A
1425834877000,555532555,23.713566,37.68325,139,22.1,0,0,30,-1,A
1425835009000,555532555,23.72525,37.673283,133,22.1,0,0,30,-1,A
1425835142000,555532555,23.7393,37.665833,115,21.9,0,0,30,-1,A
1425835273000,555532555,23.75455,37.66055,112,22.0,0,0,30,-1,A
1425835405000,555532555,23.77005,37.655216,111,21.9,0,0,30,-1,A
1425835538000,555532555,23.7857,37.649765,111,22.0,0,0,30,-1,A
1425835658000,555532555,23.799816,37.644783,112,22.1,0,0,30,-1,A
1425835791000,555532555,23.8151,37.63925,112,22.2,0,0,30,-1,A
1425835934000,555532555,23.832317,37.632915,112,22.3,0,0,30,-1,A
1425836071000,555532555,23.848633,37.62685,112,22.4,0,0,30,-1,A
1425836238000,555532555,23.867733,37.619667,111,22.6,0,0,30,-1,A
1425836366000,555532555,23.884016,37.614616,106,22.5,0,0,30,-1,A
1425836492000,555532555,23.899567,37.609966,107,22.7,0,0,30,-1,A
1425836618000,555532555,23.9152,37.60535,107,22.7,0,0,30,-1,A
1425836762000,555532555,23.933167,37.6002,107,22.6,0,0,30,-1,A
1425836899000,555532555,23.9502,37.59535,107,22.6,0,0,30,-1,A
1425837032000,555532555,23.966583,37.590717,106,22.7,0,0,30,-1,A
1425837170000,555532555,23.983583,37.585934,108,22.5,0,0,30,-1,A
1425837296000,555532555,23.998917,37.58005,113,22.6,0,0,30,-1,A
1425837434000,555532555,24.015017,37.573666,111,22.4,0,0,30,-1,A
1425837566000,555532555,24.0307,37.56822,108,22.2,0,0,30,-1,A
1425837698000,555532555,24.046383,37.56288,107,22.2,0,0,30,-1,A
1425837835000,555532555,24.062717,37.5572,103,22.3,0,0,30,-1,A
1425837992000,555532555,24.081917,37.5517,102,22.3,0,0,30,-1,A
1425838117000,555532555,24.097282,37.5474,101,22.3,0,0,30,-1,A
1425838243000,555532555,24.112833,37.543133,103,22.3,0,0,30,-1,A
1425838370000,555532555,24.1284,37.538933,103,22.2,0,0,30,-1,A
1425838496000,555532555,24.143682,37.535133,103,22.1,0,0,30,-1,A
1425838622000,555532555,24.159584,37.53145,103,22.3,0,0,30,-1,A
1425838748000,555532555,24.175467,37.528015,102,22.3,0,0,30,-1,A
1425838873000,555532555,24.191284,37.52485,102,22.4,0,0,30,-1,A
1425839003000,555532555,24.207083,37.52165,103,22.6,0,0,30,-1,A
1425839132000,555532555,24.223883,37.518017,100,22.3,0,0,30,-1,A
1425839264000,555532555,24.240417,37.5145,101,22.2,0,0,30,-1,A
1425839396000,555532555,24.256716,37.511833,98,21.6,0,0,30,-1,A
1425839521000,555532555,24.271383,37.508385,102,20.4,0,0,30,-1,A
1425839647000,555532555,24.28625,37.508568,83,20.5,0,0,30,-1,A
1425839780000,555532555,24.30225,37.509132,83,20.6,0,0,30,-1,A
1425839911000,555532555,24.31795,37.50975,83,20.8,0,0,30,-1,A
1425840049000,555532555,24.3345,37.510284,83,20.6,0,0,30,-1,A
1425840181000,555532555,24.350267,37.510735,80,20.4,0,0,30,-1,A
1425840308000,555532555,24.365366,37.5122,79,20.4,0,0,30,-1,A
1425840442000,555532555,24.38035,37.513565,79,20.4,0,0,30,-1,A
1425840572000,555532555,24.396366,37.51505,78,20.4,0,0,30,-1,A
1425840704000,555532555,24.411966,37.5168,77,20.4,0,0,30,-1,A
1425840829000,555532555,24.4266,37.518684,75,20.0,0,0,30,-1,A
1425840961000,555532555,24.440332,37.520718,74,20.3,0,0,30,-1,A
1425841094000,555532555,24.456766,37.5233,73,19.7,0,0,30,-1,A
1425841226000,555532555,24.47215,37.5261,69,20.2,0,0,30,-1,A
1425841358000,555532555,24.48725,37.529533,70,20.5,0,0,30,-1,A
1425841485000,555532555,24.501516,37.5326,68,20.0,0,0,30,-1,A
1425841611000,555532555,24.515633,37.536182,65,20.2,0,0,30,-1,A
1425841742000,555532555,24.5301,37.54022,64,20.4,0,0,30,-1,A
1425841874000,555532555,24.54505,37.544567,63,20.5,0,0,30,-1,A
1425842000000,555532555,24.559383,37.54875,66,20.9,0,0,30,-1,A
1425842126000,555532555,24.573517,37.553,61,19.9,0,0,30,-1,A
1425842252000,555532555,24.58735,37.55735,62,20.3,0,0,30,-1,A
1425842377000,555532555,24.600933,37.56205,54,20.2,0,0,30,-1,A
1425842504000,555532555,24.6139,37.567783,55,20.2,0,0,30,-1,A
1425842635000,555532555,24.628134,37.573235,64,20.6,0,0,30,-1,A
1425842763000,555532555,24.642933,37.57685,69,21.1,0,0,30,-1,A
1425842890000,555532555,24.65865,37.577816,91,21.6,0,0,30,-1,A
1425843021000,555532555,24.674383,37.576317,93,22.0,0,0,30,-1,A
1425843146000,555532555,24.69115,37.574482,93,22.0,0,0,30,-1,A
1425843296000,555532555,24.710117,37.572483,94,22.3,0,0,30,-1,A
1425843422000,555532555,24.726734,37.571,94,22.4,0,0,30,-1,A
1425843548000,555532555,24.743017,37.569435,90,22.2,0,0,30,-1,A
1425843675000,555532555,24.759216,37.567734,95,22.3,0,0,30,-1,A
1425843806000,555532555,24.776184,37.5656,96,22.4,0,0,30,-1,A
1425843933000,555532555,24.79225,37.56365,99,22.2,0,0,30,-1,A
1425844063000,555532555,24.8078,37.559166,114,22.4,0,0,30,-1,A
1425844185000,555532555,24.822466,37.55345,116,22.3,0,0,30,-1,A
1425844314000,555532555,24.837084,37.54765,115,22.0,0,0,30,-1,A
1425844441000,555532555,24.8522,37.542,116,21.9,0,0,30,-1,A
1425844573000,555532555,24.8678,37.53645,115,22.2,0,0,30,-1,A
1425844700000,555532555,24.882483,37.531116,116,21.8,0,0,30,-1,A
1425844832000,555532555,24.897434,37.52525,116,21.8,0,0,30,-1,A
1425844958000,555532555,24.911367,37.51905,115,21.6,0,0,30,-1,A
1425845090000,555532555,24.925917,37.512833,115,21.4,0,0,30,-1,A
1425845228000,555532555,24.9403,37.505665,129,21.2,0,0,30,-1,A
1425845359000,555532555,24.951,37.495785,147,21.1,0,0,30,-1,A
1425845492000,555532555,24.9577,37.483833,160,21.2,0,0,30,-1,A
1425845623000,555532555,24.960867,37.47125,169,21.3,0,0,30,-1,A
1425845756000,555532555,24.962433,37.457916,174,21.6,0,0,30,-1,A
1425845892000,555532555,24.96245,37.444283,195,21.9,0,0,30,-1,A
1425846014000,555532555,24.95245,37.435833,251,20.4,0,0,30,-1,A
1425846140000,555532555,24.942266,37.438034,329,12.6,0,0,30,-1,A
1425846325000,555532555,24.942066,37.440132,125,1.3,0,0,30,-1,A
1425846521000,555532555,24.942017,37.440117,127,0.1,0,0,30,-1,A
1425847885000,555532555,24.9423,37.440266,107,0.9,0,0,30,-1,A
1425848009000,555532555,24.9437,37.439415,149,5.2,0,0,30,-1,A
1425848169000,555532555,24.951233,37.43545,71,12.6,0,0,30,-1,A
1425848299000,555532555,24.962833,37.439568,59,18.5,0,0,30,-1,A
1425848431000,555532555,24.97655,37.44475,58,20.4,0,0,30,-1,A
1425848563000,555532555,24.990767,37.450367,59,20.8,0,0,30,-1,A
1425848755000,555532555,25.01155,37.4588,58,20.8,0,0,30,-1,A
1425848880000,555532555,25.0254,37.46422,59,20.8,0,0,30,-1,A
1425849012000,555532555,25.03955,37.46975,59,20.9,0,0,30,-1,A
1425849144000,555532555,25.054167,37.47545,59,20.8,0,0,30,-1,A
1425849264000,555532555,25.067,37.480316,59,20.6,0,0,30,-1,A
1425849396000,555532555,25.080584,37.485966,53,19.5,0,0,30,-1,A
1425849528000,555532555,25.093834,37.492016,54,20.0,0,0,30,-1,A
1425849661000,555532555,25.1061,37.497215,55,16.3,0,0,30,-1,A
1425849816000,555532555,25.117733,37.5024,49,14.3,0,0,30,-1,A
1425849942000,555532555,25.125483,37.50585,43,11.2,0,0,30,-1,A
1425850066000,555532555,25.132183,37.509384,38,11.0,0,0,30,-1,A
1425850197000,555532555,25.1377,37.5131,35,7.4,0,0,30,-1,A
1425850326000,555532555,25.141,37.5155,26,5.7,0,0,30,-1,A
1425850467000,555532555,25.143967,37.5183,24,5.7,0,0,30,-1,A
1425850597000,555532555,25.14645,37.520916,13,5.7,0,0,30,-1,A
1425850737000,555532555,25.149784,37.528316,14,13.2,0,0,30,-1,A
1425850886000,555532555,25.15405,37.53602,13,9.6,0,0,30,-1,A
1425851013000,555532555,25.154367,37.5364,239,2.8,0,0,30,-1,A
1425851218000,555532555,25.156384,37.53768,186,0.7,0,0,30,-1,A
1425851417000,555532555,25.156433,37.53775,188,0.1,0,0,30,-1,A
1425851973000,555532555,25.15615,37.53723,219,3.3,0,0,30,-1,A
1425852097000,555532555,25.153517,37.5308,167,16.0,0,0,30,-1,A
1425852226000,555532555,25.161283,37.52088,127,20.4,0,0,30,-1,A
1425852356000,555532555,25.175234,37.514034,118,21.9,0,0,30,-1,A
1425852488000,555532555,25.190083,37.507515,118,22.4,0,0,30,-1,A
1425852620000,555532555,25.205317,37.500732,118,22.6,0,0,30,-1,A
1425852771000,555532555,25.221767,37.4934,118,22.5,0,0,30,-1,A
1425852902000,555532555,25.237432,37.4862,118,22.3,0,0,30,-1,A
1425853035000,555532555,25.252167,37.479168,119,22.3,0,0,30,-1,A
1425853160000,555532555,25.266167,37.472534,113,22.1,0,0,30,-1,A
1425853286000,555532555,25.280216,37.466583,107,21.6,0,0,30,-1,A
