TIMESTAMP,MMSI,LON,LAT,X,Y,HEADING,COURSE,SPEED,NAVIGATIONAL_STATUS,TYPE,STATION,CLASS
1426332886000,555532553,23.641367,37.9479,5521566.640614906,1759471.532524961,184,0.0,0,0,30,-1,A
1426334325000,555532553,23.641367,37.94787,5521567.16877627,1759468.2622324657,184,0.0,0,0,30,-1,A
1426335767000,555532553,23.641333,37.947834,5521564.846064599,1759463.8032123903,184,0.0,0,0,30,-1,A
1426337207000,555532553,23.641283,37.947933,5521558.755340833,1759473.8089032199,184,0.0,0,0,30,-1,A
1426338648000,555532553,23.6414,37.9479,5521569.510160845,1759472.0514694892,185,0.0,0,0,30,-1,A
1426340089000,555532553,23.6413,37.947918,5521560.497670947,1759472.4410899084,185,0.0,0,0,30,-1,A
1426341527000,555532553,23.6413,37.94795,5521559.934301211,1759475.929402433,185,0.0,0,0,30,-1,A
1426342967000,555532553,23.64135,37.947933,5521564.5813868465,1759474.862512337,185,0.0,0,0,30,-1,A
1426344408000,555532553,23.6414,37.94787,5521570.038323479,1759468.7811771664,185,0.0,0,0,30,-1,A
1426345847000,555532553,23.641283,37.947884,5521559.617999376,1759468.4674246453,184,0.0,0,0,30,-1,A
1426347286000,555532553,23.64135,37.947918,5521564.845467344,1759473.2273659855,184,0.0,0,0,30,-1,A
1426348726000,555532553,23.641333,37.9479,5521563.684112768,1759470.9978561467,184,0.0,0,0,30,-1,A
1426350165000,555532553,23.64135,37.947918,5521564.845467344,1759473.2273659855,184,0.1,0,0,30,-1,A
1426350473000,555532553,23.636333,37.943283,5521210.153129597,1758889.0835411423,213,11.1,0,0,30,-1,A
1426350734000,555532553,23.61955,37.937065,5519859.904379635,1757947.5648547711,246,14.4,0,0,30,-1,A
1426351004000,555532553,23.6123,37.9157,5519604.562427899,1755504.6979493184,178,22.2,0,0,30,-1,A
1426351194000,555532553,23.6131,37.896034,5520019.483151685,1753373.458466998,179,22.5,0,0,30,-1,A
1426351454000,555532553,23.614416,37.868916,5520610.077020313,1750438.0509993467,178,22.3,0,0,30,-1,A
1426351724000,555532553,23.618183,37.84145,5521420.172322798,1747503.319931778,170,22.2,0,0,30,-1,A
1426351975000,555532553,23.629467,37.817184,5522829.130581326,1745035.7614925592,157,22.3,0,0,30,-1,A
